act_number,tree_adress,Latitude,Longitude,tree_cut_requester,tree_characteristics,number,date,cutting_act,was_cut,date_number,date_UTF,tree_adress_shorten
"№ 3685
 від 17.04.18","м. Кропивницький просп. Університетський, 27",48.49690454360784,32.187276641392735,ДНЗ № 63,верба плакуча -,1,№ 1050/03-01-06 від 20.04.18,20.04.18,True,№ 1050/03-01-06,20.04.18,"м. Кропивницький просп. Університетський, 27"
"№ 3685
 від 17.04.18","м. Кропивницький просп. Університетський, 29",48.504444094567546,32.200154160424404,ДНЗ № 63,дуб,1,№ 1050/03-01-06 від 20.04.18,20.04.18,True,№ 1050/03-01-06,20.04.18,"м. Кропивницький просп. Університетський, 29"
"№ 3686
 від 17.04.18","м. Кропивницький вул. Архітектора Паученка, 66",48.51740715855434,32.265125432447796,ОСББ «П'ятихатки 2-66»,акація діам. 30-35 см,1,№ 1050/03-01-06 від 20.04.18,20.04.18,True,№ 1050/03-01-06,20.04.18,"м. Кропивницький вул. Архітектора Паученка, 66"
"№ 3686
 від 17.04.18","м. Кропивницький вул. Архітектора Паученка, 66",48.504577673701355,32.259706886749136,ОСББ «П'ятихатки 2-66»,яблуня діам. 20-25 см,1,№ 1050/03-01-06 від 20.04.18,20.04.18,True,№ 1050/03-01-06,20.04.18,"м. Кропивницький вул. Архітектора Паученка, 66"
"№ 3686
 від 17.04.18","м. Кропивницький вул. Архітектора Паученка, 66",48.514011715568785,32.269272946660394,ОСББ «П'ятихатки 2-66»,яблуня діам. 20-25 см,1,№ 1050/03-01-06 від 20.04.18,20.04.18,True,№ 1050/03-01-06,20.04.18,"м. Кропивницький вул. Архітектора Паученка, 66"
"№ 3686
 від 17.04.18","м. Кропивницький вул. Архітектора Паученка, 66",48.51346237104853,32.27500982623674,ОСББ «П'ятихатки 2-66»,яблуня діам. 20-25 см,1,№ 1050/03-01-06 від 20.04.18,20.04.18,True,№ 1050/03-01-06,20.04.18,"м. Кропивницький вул. Архітектора Паученка, 66"
"№ 3686
 від 17.04.18","м. Кропивницький вул. Архітектора Паученка, 66",48.506006204002865,32.27844412345645,ОСББ «П'ятихатки 2-66»,клен 2 діам. 30-35 см,1,№ 1050/03-01-06 від 20.04.18,20.04.18,True,№ 1050/03-01-06,20.04.18,"м. Кропивницький вул. Архітектора Паученка, 66"
"№ 3686
 від 17.04.18","м. Кропивницький вул. Архітектора Паученка, 66",48.51015895985709,32.260671988398265,ОСББ «П'ятихатки 2-66»,яблуня діам. 20-25 см,1,№ 1050/03-01-06 від 20.04.18,20.04.18,True,№ 1050/03-01-06,20.04.18,"м. Кропивницький вул. Архітектора Паученка, 66"
"№ 3686
 від 17.04.18","м. Кропивницький вул. Архітектора Паученка, 66",48.507003617729424,32.288386785096925,ОСББ «П'ятихатки 2-66»,шовковиця діам. 30-35 см,1,№ 1050/03-01-06 від 20.04.18,20.04.18,True,№ 1050/03-01-06,20.04.18,"м. Кропивницький вул. Архітектора Паученка, 66"
"№ 3687
 від 17.04.18","м. Кропивницький вул. Арсенія Тарковського, уздовж дороги біля будинку № 76",48.52087009428158,32.26266956958318,гр. Владимирська А.М.,клен діам. 60-65 см,1,№ 1050/03-01-06 від 20.04.18,20.04.18,True,№ 1050/03-01-06,20.04.18,"м. Кропивницький вул. Арсенія Тарковського, уздовж дороги біля будинку № 76"
"№ 3688
 від 17.04.18","м. Кропивницький вул. Вокзальна, 18, корп. 2",48.510760381848044,32.252720460680095,деп. Розгачов Р.О.,горобина діам. 20-25 см,1,№ 1050/03-01-06 від 20.04.18,20.04.18,True,№ 1050/03-01-06,20.04.18,"м. Кропивницький вул. Вокзальна, 18, корп. 2"
"№ 3688
 від 17.04.18","м. Кропивницький вул. Вокзальна, 28",48.5294818131146,32.25137136856832,деп. Розгачов Р.О.,верба плакуча діам. 75-80 см,1,№ 1050/03-01-06 від 20.04.18,20.04.18,True,№ 1050/03-01-06,20.04.18,"м. Кропивницький вул. Вокзальна, 28"
"№ 3689
 від 17.04.18","м. Кропивницький вул. Добровольського, 11",48.53781554298487,32.2714049520328,КП «Благоустрій» МРМК»,береза діам. 20-25 см,1,№ 1050/03-01-06 від 20.04.18,20.04.18,True,№ 1050/03-01-06,20.04.18,"м. Кропивницький вул. Добровольського, 11"
"№ 3689
 від 17.04.18","м. Кропивницький вул. Добровольського, 18",48.522551684523364,32.2595491800353,КП «Благоустрій» МРМК»,берест діам. 25-30 см,1,№ 1050/03-01-06 від 20.04.18,20.04.18,True,№ 1050/03-01-06,20.04.18,"м. Кропивницький вул. Добровольського, 18"
"№ 3689
 від 17.04.18",м. Кропивницький сквер «Слави»,48.5042914309305,32.24218771726652,КП «Благоустрій» МРМК»,береза діам. 15-20 см,1,№ 1050/03-01-06 від 20.04.18,20.04.18,True,№ 1050/03-01-06,20.04.18,м. Кропивницький сквер «Слави»
"№ 3689
 від 17.04.18",м. Кропивницький сквер «Слави»,48.51513719453045,32.24928501473219,КП «Благоустрій» МРМК»,тополя діам. 25-30 см,1,№ 1050/03-01-06 від 20.04.18,20.04.18,True,№ 1050/03-01-06,20.04.18,м. Кропивницький сквер «Слави»
"№ 3689
 від 17.04.18","м. Кропивницький вул. Карабінерна, 30",48.50854135053149,32.28625708823124,КП «Благоустрій» МРМК»,акація діам. 30-35 см,1,№ 1050/03-01-06 від 20.04.18,20.04.18,True,№ 1050/03-01-06,20.04.18,"м. Кропивницький вул. Карабінерна, 30"
"№ 3689
 від 17.04.18","м. Кропивницький вул. Карабінерна, 30",48.508168766010016,32.276110822417024,КП «Благоустрій» МРМК»,липа діам. 25-30 см,1,№ 1050/03-01-06 від 20.04.18,20.04.18,True,№ 1050/03-01-06,20.04.18,"м. Кропивницький вул. Карабінерна, 30"
"№ 3689
 від 17.04.18","м. Кропивницький вул. Віктора Чміленка, 71",48.51716302508123,32.275087462960684,КП «Благоустрій» МРМК»,липа діам. 20-25 см,1,№ 1050/03-01-06 від 20.04.18,20.04.18,True,№ 1050/03-01-06,20.04.18,"м. Кропивницький вул. Віктора Чміленка, 71"
"№ 3689
 від 17.04.18","м. Кропивницький вул. Віктора Чміленка, 71",48.495543469057054,32.26698322463274,КП «Благоустрій» МРМК»,липа діам. 20-25 см,1,№ 1050/03-01-06 від 20.04.18,20.04.18,True,№ 1050/03-01-06,20.04.18,"м. Кропивницький вул. Віктора Чміленка, 71"
"№ 3689
 від 17.04.18","м. Кропивницький вул. Вокзальна, 28",48.50751332872507,32.25657731890072,КП «Благоустрій» МРМК»,"тополя діам. 30-,5 см",1,№ 1050/03-01-06 від 20.04.18,20.04.18,True,№ 1050/03-01-06,20.04.18,"м. Кропивницький вул. Вокзальна, 28"
"№ 3689
 від 17.04.18","м. Кропивницький вул. Преображенська, 8",48.50667925930745,32.27199689670664,КП «Благоустрій» МРМК»,ялина діам. 15-20 см,1,№ 1050/03-01-06 від 20.04.18,20.04.18,True,№ 1050/03-01-06,20.04.18,"м. Кропивницький вул. Преображенська, 8"
"№ 3689
 від 17.04.18","м. Кропивницький вул. Тараса Карпи, між № 60 та 62",48.5052473756161,32.26467380520052,КП «Благоустрій» МРМК»,клен діам. 40-45 см,1,№ 1050/03-01-06 від 20.04.18,20.04.18,True,№ 1050/03-01-06,20.04.18,"м. Кропивницький вул. Тараса Карпи, між № 60 та 62"
"№ 3689
 від 17.04.18","м. Кропивницький вул. Юрія Олефіренка, 14-а",48.52986891537772,32.26628244018718,КП «Благоустрій» МРМК»,черешня діам. 35-40 см,1,№ 1050/03-01-06 від 20.04.18,20.04.18,True,№ 1050/03-01-06,20.04.18,"м. Кропивницький вул. Юрія Олефіренка, 14-а"
"№ 3689
 від 17.04.18","м. Кропивницький вул. Короленка, 40",48.52697893099791,32.26766290108375,КП «Благоустрій» МРМК»,акація діам. 45-50 см,1,№ 1050/03-01-06 від 20.04.18,20.04.18,True,№ 1050/03-01-06,20.04.18,"м. Кропивницький вул. Короленка, 40"
"№ 3689
 від 17.04.18","м. Кропивницький вул. Гоголя, 85",48.51886876249882,32.26490112783449,КП «Благоустрій» МРМК»,бузок (кущ),1,№ 1050/03-01-06 від 20.04.18,20.04.18,True,№ 1050/03-01-06,20.04.18,"м. Кропивницький вул. Гоголя, 85"
