,Unnamed: 0,act_number,tree_adress,Latitude,Longitude,tree_cut_requester,tree_characteristics,number,date,cutting_act,was_cut,date_number,date_UTF,tree_adress_shorten
119,119,"№ 3662
 від 02.04.18",м. Кропивницький вздовж русла річки Інгул (від гідротехнічної споруди КП «Теплоенергетик» до пішохідного мосту по вул. Київській),48.529227,32.2454271,ГУ ЖКГ МР МК,тополя,1,NotYet,NotYet,False,NotYet,NotYet,м. Кропивницький вздовж русла річки Інгул
120,120,"№ 3662
 від 02.04.18",м. Кропивницький вздовж русла річки Інгул (від гідротехнічної споруди КП «Теплоенергетик» до пішохідного мосту по вул. Київській),48.52929,32.245411100000005,ГУ ЖКГ МР МК,верба плакуча,2,NotYet,NotYet,False,NotYet,NotYet,м. Кропивницький вздовж русла річки Інгул
121,121,"№ 3662
 від 02.04.18",м. Кропивницький вздовж русла річки Інгул (від гідротехнічної споруди КП «Теплоенергетик» до пішохідного мосту по вул. Київській),48.5292834,32.2454188,ГУ ЖКГ МР МК,клен,2,NotYet,NotYet,False,NotYet,NotYet,м. Кропивницький вздовж русла річки Інгул
122,122,"№ 3662
 від 02.04.18",м. Кропивницький вздовж русла річки Інгул (від гідротехнічної споруди КП «Теплоенергетик» до пішохідного мосту по вул. Київській),48.5292787,32.245443800000004,ГУ ЖКГ МР МК,клен,19,NotYet,NotYet,False,NotYet,NotYet,м. Кропивницький вздовж русла річки Інгул
123,123,"№ 3662
 від 02.04.18",м. Кропивницький вздовж русла річки Інгул (від гідротехнічної споруди КП «Теплоенергетик» до пішохідного мосту по вул. Київській),48.5292666,32.2454784,ГУ ЖКГ МР МК,берест,1,NotYet,NotYet,False,NotYet,NotYet,м. Кропивницький вздовж русла річки Інгул
124,124,"№ 3662
 від 02.04.18",м. Кропивницький вздовж русла річки Інгул (від гідротехнічної споруди КП «Теплоенергетик» до пішохідного мосту по вул. Київській),48.5292887,32.2454264,ГУ ЖКГ МР МК,верба плакуча,1,NotYet,NotYet,False,NotYet,NotYet,м. Кропивницький вздовж русла річки Інгул
125,125,"№ 3662
 від 02.04.18",м. Кропивницький вздовж русла річки Інгул (від гідротехнічної споруди КП «Теплоенергетик» до пішохідного мосту по вул. Київській),48.5292118,32.2454225,ГУ ЖКГ МР МК,верба плакуча,1,NotYet,NotYet,False,NotYet,NotYet,м. Кропивницький вздовж русла річки Інгул
126,126,"№ 3662
 від 02.04.18",м. Кропивницький вздовж русла річки Інгул (від гідротехнічної споруди КП «Теплоенергетик» до пішохідного мосту по вул. Київській),48.5292227,32.2454811,ГУ ЖКГ МР МК,клен,2,NotYet,NotYet,False,NotYet,NotYet,м. Кропивницький вздовж русла річки Інгул
127,127,"№ 3662
 від 02.04.18",м. Кропивницький вздовж русла річки Інгул (від гідротехнічної споруди КП «Теплоенергетик» до пішохідного мосту по вул. Київській),48.5292795,32.2454549,ГУ ЖКГ МР МК,берест,2,NotYet,NotYet,False,NotYet,NotYet,м. Кропивницький вздовж русла річки Інгул
128,128,"№ 3662
 від 02.04.18",м. Кропивницький вздовж русла річки Інгул (від гідротехнічної споруди КП «Теплоенергетик» до пішохідного мосту по вул. Київській),48.5292528,32.2454126,ГУ ЖКГ МР МК,верба плакуча,2,NotYet,NotYet,False,NotYet,NotYet,м. Кропивницький вздовж русла річки Інгул
